frame.time_epoch,ip.src,ip.dst,udp.srcport,udp.dstport,udp.length,coap.code,coap.type,coap.mid,coap.token,coap.opt.uri_path_recon
1551283968.434017962,192.168.10.105,192.168.10.102,5683,56966,12,0,2,12484,,
1551283968.434034621,192.168.10.102,192.168.10.105,54832,5683,12,69,0,32384,,
1551283968.434206039,192.168.10.102,192.168.10.104,35154,5683,12,69,0,53772,,
1551283968.434530104,192.168.10.105,192.168.10.102,5683,54832,12,0,2,32384,,
1551283968.434686851,192.168.10.104,192.168.10.102,5683,35154,12,0,2,53772,,
1551283968.435446357,192.168.10.105,192.168.10.102,46584,5683,37,3,0,10662,,/floor_1_light
1551283968.435580181,192.168.10.102,192.168.10.105,5683,46584,12,68,2,10662,,
1551283969.435822418,192.168.10.102,192.168.10.104,49338,5683,12,69,0,65174,,
1551283969.436353497,192.168.10.104,192.168.10.102,5683,49338,12,0,2,65174,,
1551283969.437365484,192.168.10.102,192.168.10.105,42375,5683,12,69,0,26762,,
1551283969.437949510,192.168.10.105,192.168.10.102,5683,42375,12,0,2,26762,,
1551283970.438173636,192.168.10.102,192.168.10.104,58638,5683,12,69,0,38402,,
1551283970.438675282,192.168.10.104,192.168.10.102,5683,58638,12,0,2,38402,,
1551283970.439921258,192.168.10.102,192.168.10.105,44660,5683,12,69,0,6875,,
1551283970.440363023,192.168.10.105,192.168.10.102,47409,5683,38,3,0,56836,,/floor_1_light
1551283971.440628426,192.168.10.102,192.168.10.104,43541,5683,12,69,0,40705,,
1551283971.441186660,192.168.10.102,192.168.10.105,5683,47409,12,68,2,56836,,
1551283971.441242927,192.168.10.104,192.168.10.102,5683,43541,12,0,2,40705,,
1551283971.441799183,192.168.10.102,192.168.10.105,60860,5683,12,69,0,2343,,
1551283971.441887796,192.168.10.105,192.168.10.102,5683,44660,12,0,2,6875,,
1551283971.442240322,192.168.10.105,192.168.10.102,5683,60860,12,0,2,2343,,
1551283972.442935754,192.168.10.102,192.168.10.104,60912,5683,12,69,0,44619,,
1551283972.443358076,192.168.10.104,192.168.10.102,59705,5683,29,3,0,18950,,/floor_1_temp
1551283972.443449993,192.168.10.102,192.168.10.104,5683,59705,12,68,2,18950,,
1551283972.443811737,192.168.10.104,192.168.10.102,5683,60912,12,0,2,44619,,
1551283972.443897274,192.168.10.102,192.168.10.105,36390,5683,12,69,0,19958,,
1551283972.444386366,192.168.10.105,192.168.10.102,58133,5683,37,3,0,34205,,/floor_1_light
1551283973.445183605,192.168.10.102,192.168.10.105,5683,58133,12,68,2,34205,,
1551283973.445915135,192.168.10.102,192.168.10.104,47941,5683,12,69,0,60770,,
1551283973.445959029,192.168.10.105,192.168.10.102,5683,36390,12,0,2,19958,,
1551283973.446040998,192.168.10.102,192.168.10.105,60088,5683,12,69,0,14744,,
1551283973.446312556,192.168.10.105,192.168.10.102,5683,60088,12,0,2,14744,,
1551283973.446532280,192.168.10.104,192.168.10.102,5683,47941,12,0,2,60770,,
1551283974.447954637,192.168.10.102,192.168.10.105,45645,5683,12,69,0,22266,,
1551283974.448065859,192.168.10.102,192.168.10.104,57197,5683,12,69,0,21287,,
1551283974.448332385,192.168.10.105,192.168.10.102,5683,45645,12,0,2,22266,,
1551283974.448382873,192.168.10.104,192.168.10.102,5683,57197,12,0,2,21287,,
1551283975.449945152,192.168.10.102,192.168.10.104,39870,5683,12,69,0,50419,,
1551283975.450057084,192.168.10.102,192.168.10.105,39350,5683,12,69,0,18650,,
1551283975.450381164,192.168.10.104,192.168.10.102,5683,39870,12,0,2,50419,,
1551283975.450522113,192.168.10.105,192.168.10.102,5683,39350,12,0,2,18650,,
1551283976.452398958,192.168.10.102,192.168.10.104,58123,5683,12,69,0,41340,,
1551283976.452478769,192.168.10.102,192.168.10.105,39601,5683,12,69,0,42821,,
1551283976.452951404,192.168.10.104,192.168.10.102,5683,58123,12,0,2,41340,,
1551283976.452999348,192.168.10.105,192.168.10.102,5683,39601,12,0,2,42821,,
1551283977.454813927,192.168.10.102,192.168.10.105,51424,5683,12,69,0,14459,,
1551283977.454890853,192.168.10.102,192.168.10.104,35660,5683,12,69,0,37673,,
1551283977.455324931,192.168.10.105,192.168.10.102,5683,51424,12,0,2,14459,,
1551283977.455404851,192.168.10.104,192.168.10.102,47120,5683,29,3,0,28831,,/floor_1_temp
1551283977.455521552,192.168.10.102,192.168.10.104,5683,47120,12,68,2,28831,,
1551283977.455954595,192.168.10.104,192.168.10.102,5683,35660,12,0,2,37673,,
1551283978.456450819,192.168.10.102,192.168.10.105,53393,5683,12,69,0,23855,,
1551283978.457006334,192.168.10.105,192.168.10.102,5683,53393,12,0,2,23855,,
1551283978.457162790,192.168.10.102,192.168.10.104,60334,5683,12,69,0,40560,,
1551283978.457579794,192.168.10.104,192.168.10.102,5683,60334,12,0,2,40560,,
1551283979.458946046,192.168.10.102,192.168.10.105,49750,5683,12,69,0,7442,,
1551283979.459518781,192.168.10.102,192.168.10.104,53206,5683,12,69,0,35508,,
1551283979.459584226,192.168.10.105,192.168.10.102,5683,49750,12,0,2,7442,,
1551283979.459953586,192.168.10.104,192.168.10.102,5683,53206,12,0,2,35508,,
1551283980.461702852,192.168.10.102,192.168.10.104,40100,5683,12,69,0,13424,,
1551283980.461736656,192.168.10.102,192.168.10.105,54823,5683,12,69,0,13114,,
1551283980.462179668,192.168.10.104,192.168.10.102,5683,40100,12,0,2,13424,,
1551283980.462229425,192.168.10.105,192.168.10.102,5683,54823,12,0,2,13114,,
1551283981.464008876,192.168.10.102,192.168.10.105,56299,5683,12,69,0,19599,,
1551283981.464123017,192.168.10.102,192.168.10.104,53366,5683,12,69,0,40856,,
1551283981.464528169,192.168.10.105,192.168.10.102,5683,56299,12,0,2,19599,,
1551283981.464543396,192.168.10.104,192.168.10.102,5683,53366,12,0,2,40856,,
1551283982.466536733,192.168.10.102,192.168.10.104,54739,5683,12,69,0,33680,,
1551283982.466712839,192.168.10.102,192.168.10.105,58186,5683,12,69,0,41965,,
1551283982.467190471,192.168.10.104,192.168.10.102,50446,5683,29,3,0,50379,,/floor_1_temp
1551283982.467338881,192.168.10.105,192.168.10.102,5683,58186,12,0,2,41965,,
1551283982.467532681,192.168.10.102,192.168.10.104,5683,50446,12,68,2,50379,,
1551283982.468045244,192.168.10.104,192.168.10.102,5683,54739,12,0,2,33680,,
1551283983.469275323,192.168.10.102,192.168.10.105,55356,5683,12,69,0,17190,,
1551283983.469833652,192.168.10.105,192.168.10.102,5683,55356,12,0,2,17190,,
1551283983.469915545,192.168.10.102,192.168.10.104,35318,5683,12,69,0,46615,,
